Date,Open,High,Low,Close,Adj Close,Volume
2022-03-22,26.400000,26.400000,26.400000,26.400000,0.000308,0
2022-03-23,26.600000,26.600000,26.600000,26.600000,0.000310,0
2022-03-24,26.400000,26.400000,26.400000,26.400000,0.000308,0
2022-03-25,26.600000,26.600000,26.600000,26.600000,0.000310,0
2022-03-28,26.200001,26.200001,26.200001,26.200001,0.000305,0
2022-03-29,26.200001,26.200001,26.200001,26.200001,0.000305,0
2022-03-30,26.000000,26.000000,26.000000,26.000000,-0.004408,0
2022-03-31,25.400000,25.400000,25.400000,25.400000,-0.004307,0
2022-04-01,25.799999,25.799999,25.799999,25.799999,-0.004374,0
2022-04-04,25.799999,25.799999,25.799999,25.799999,-0.004374,0
2022-04-05,25.600000,25.600000,25.600000,25.600000,-0.004341,0
2022-04-06,25.200001,25.200001,25.200001,25.200001,-0.004273,0
2022-04-07,26.000000,26.000000,26.000000,26.000000,-0.004408,0
2022-04-08,26.000000,26.000000,26.000000,26.000000,-0.004408,0
2022-04-11,25.799999,25.799999,25.799999,25.799999,-0.004374,0
2022-04-12,25.200001,25.200001,25.200001,25.200001,-0.004273,0
2022-04-13,25.400000,25.400000,25.400000,25.400000,-0.004307,0
2022-04-14,25.600000,25.600000,25.600000,25.600000,-0.004341,0
2022-04-19,24.400000,24.400000,24.400000,24.400000,-0.004137,0
2022-04-20,24.400000,24.400000,24.400000,24.400000,-0.004137,0
2022-04-21,24.400000,24.400000,24.400000,24.400000,-0.004137,0
2022-04-22,24.400000,24.400000,24.400000,24.400000,-0.004137,0
2022-04-25,24.400000,24.400000,24.400000,24.400000,-0.004137,0
2022-04-26,24.400000,24.400000,24.400000,24.400000,-0.004137,0
2022-04-27,24.200001,24.200001,24.200001,24.200001,-0.004103,0
2022-04-28,24.600000,24.600000,24.600000,24.600000,-0.004171,0
2022-04-29,24.600000,24.600000,24.600000,24.600000,-0.004171,0
2022-05-02,23.799999,23.799999,23.799999,23.799999,-0.004035,0
2022-05-03,23.799999,23.799999,23.799999,23.799999,-0.004035,0
2022-05-04,23.799999,23.799999,23.799999,23.799999,-0.004035,0
2022-05-05,23.799999,23.799999,23.799999,23.799999,-0.004035,0
2022-05-06,24.200001,24.200001,24.200001,24.200001,-0.004103,0
2022-05-09,22.400000,22.400000,22.400000,22.400000,-0.003798,0
2022-05-10,21.799999,21.799999,21.799999,21.799999,-0.003696,0
2022-05-11,22.000000,22.000000,22.000000,22.000000,-0.003730,0
2022-05-12,22.000000,22.000000,22.000000,22.000000,-0.003730,0
2022-05-13,23.600000,23.600000,23.600000,23.600000,-0.004001,0
2022-05-16,23.400000,23.400000,23.400000,23.400000,-0.003968,0
2022-05-17,23.000000,23.000000,23.000000,23.000000,-0.003900,0
2022-05-18,23.000000,23.000000,23.000000,23.000000,-0.003900,0
2022-05-19,23.000000,23.000000,23.000000,23.000000,-0.003900,0
2022-05-20,23.200001,23.200001,23.200001,23.200001,-0.003934,0
2022-05-23,23.400000,23.400000,23.400000,23.400000,-0.003968,0
2022-05-24,23.200001,23.200001,23.200001,23.200001,-0.003934,0
2022-05-25,23.400000,23.400000,23.400000,23.400000,-0.003968,0
2022-05-26,23.200001,23.200001,23.200001,23.200001,-0.003934,0
2022-05-27,22.799999,22.799999,22.799999,22.799999,-0.003866,0
2022-05-30,23.000000,23.000000,23.000000,23.000000,-0.003900,0
2022-05-31,22.600000,22.600000,22.600000,22.600000,-0.003832,0
2022-06-01,22.000000,22.000000,22.000000,22.000000,-0.003730,0
2022-06-02,21.600000,21.600000,21.600000,21.600000,-0.003662,0
2022-06-03,21.600000,21.600000,21.600000,21.600000,-0.003662,0
2022-06-06,21.400000,21.400000,21.400000,21.400000,-0.003628,0
2022-06-07,21.000000,21.000000,21.000000,21.000000,-0.003561,0
2022-06-08,21.200001,21.200001,21.200001,21.200001,-0.003595,0
2022-06-09,21.200001,21.200001,21.200001,21.200001,-0.003595,0
2022-06-10,21.000000,21.000000,21.000000,21.000000,-0.003561,0
2022-06-13,21.000000,21.000000,21.000000,21.000000,-0.003561,0
2022-06-14,21.600000,21.600000,21.600000,21.600000,-0.003662,0
2022-06-15,21.400000,21.400000,21.400000,21.400000,-0.003628,0
2022-06-16,21.600000,21.600000,21.600000,21.600000,-0.003662,0
2022-06-17,21.200001,21.200001,21.200001,21.200001,-0.003595,0
2022-06-20,21.000000,21.000000,21.000000,21.000000,-0.003561,0
2022-06-21,21.000000,21.000000,21.000000,21.000000,-0.003561,0
2022-06-22,21.000000,21.000000,21.000000,21.000000,-0.003561,0
2022-06-23,21.400000,21.400000,21.400000,21.400000,-0.003628,0
